time_step,unique_cells_visited,revisits,reward,total_reward
537,116,311,-1.0,-151.5
538,117,311,1.0,-150.5
539,117,312,-0.5,-151.0
540,117,313,-0.5,-151.5
541,117,313,-1.0,-152.5
542,117,314,-0.5,-153.0
543,118,314,1.0,-152.0
544,118,314,-1.0,-153.0
545,118,314,-1.0,-154.0
546,118,315,-0.5,-154.5
547,118,316,-0.5,-155.0
548,118,317,-0.5,-155.5
549,118,318,-0.5,-156.0
550,118,318,-1.0,-157.0
551,119,318,1.0,-156.0
552,120,318,1.0,-155.0
553,120,319,-0.5,-155.5
554,121,319,1.0,-154.5
555,122,319,1.0,-153.5
556,123,319,1.0,-152.5
557,123,320,-0.5,-153.0
558,123,321,-0.5,-153.5
559,124,321,1.0,-152.5
560,125,321,1.0,-151.5
561,126,321,1.0,-150.5
562,126,321,-1.0,-151.5
563,127,321,1.0,-150.5
564,127,322,-0.5,-151.0
565,127,322,-1.0,-152.0
566,127,322,-1.0,-153.0
567,127,323,-0.5,-153.5
568,127,323,-1.0,-154.5
569,127,323,-1.0,-155.5
570,127,323,-1.0,-156.5
571,128,323,1.0,-155.5
572,128,324,-0.5,-156.0
573,128,324,-1.0,-157.0
574,128,325,-0.5,-157.5
575,128,326,-0.5,-158.0
576,128,327,-0.5,-158.5
577,128,328,-0.5,-159.0
578,128,329,-0.5,-159.5
579,128,330,-0.5,-160.0
580,128,331,-0.5,-160.5
581,128,331,-1.0,-161.5
582,128,332,-0.5,-162.0
583,128,333,-0.5,-162.5
584,128,334,-0.5,-163.0
585,128,335,-0.5,-163.5
586,128,336,-0.5,-164.0
587,128,336,-1.0,-165.0
588,128,337,-0.5,-165.5
589,128,338,-0.5,-166.0
590,129,338,1.0,-165.0
591,129,338,-1.0,-166.0
592,129,339,-0.5,-166.5
593,129,340,-0.5,-167.0
594,129,341,-0.5,-167.5
595,129,342,-0.5,-168.0
596,129,343,-0.5,-168.5
597,129,344,-0.5,-169.0
598,129,345,-0.5,-169.5
599,129,346,-0.5,-170.0
600,129,346,-1.0,-171.0
601,129,346,-1.0,-172.0
602,130,346,1.0,-171.0
603,130,346,-1.0,-172.0
604,130,347,-0.5,-172.5
605,130,348,-0.5,-173.0
606,130,349,-0.5,-173.5
607,130,350,-0.5,-174.0
608,130,351,-0.5,-174.5
609,130,352,-0.5,-175.0
610,130,352,-1.0,-176.0
611,130,353,-0.5,-176.5
612,130,354,-0.5,-177.0
613,130,354,-1.0,-178.0
614,130,355,-0.5,-178.5
615,130,356,-0.5,-179.0
616,130,357,-0.5,-179.5
617,131,357,1.0,-178.5
618,132,357,1.0,-177.5
619,133,357,1.0,-176.5
620,133,358,-0.5,-177.0
621,133,359,-0.5,-177.5
622,133,360,-0.5,-178.0
623,133,361,-0.5,-178.5
624,133,362,-0.5,-179.0
625,133,363,-0.5,-179.5
626,134,363,1.0,-178.5
627,134,364,-0.5,-179.0
628,134,365,-0.5,-179.5
629,134,366,-0.5,-180.0
630,134,367,-0.5,-180.5
631,135,367,1.0,-179.5
632,136,367,1.0,-178.5
633,137,367,1.0,-177.5
634,137,368,-0.5,-178.0
635,138,368,1.0,-177.0
636,138,369,-0.5,-177.5
637,138,370,-0.5,-178.0
638,138,371,-0.5,-178.5
639,138,372,-0.5,-179.0
640,138,373,-0.5,-179.5
641,139,373,1.0,-178.5
642,140,373,1.0,-177.5
643,141,373,1.0,-176.5
644,141,374,-0.5,-177.0
645,141,375,-0.5,-177.5
646,141,376,-0.5,-178.0
647,141,377,-0.5,-178.5
648,141,378,-0.5,-179.0
649,141,379,-0.5,-179.5
650,141,380,-0.5,-180.0
651,142,380,1.0,-179.0
652,142,381,-0.5,-179.5
653,142,382,-0.5,-180.0
654,142,382,-1.0,-181.0
655,142,383,-0.5,-181.5
656,142,384,-0.5,-182.0
657,142,385,-0.5,-182.5
658,142,386,-0.5,-183.0
659,142,387,-0.5,-183.5
660,142,388,-0.5,-184.0
661,142,389,-0.5,-184.5
662,142,390,-0.5,-185.0
663,142,391,-0.5,-185.5
664,143,391,1.0,-184.5
665,143,391,-1.0,-185.5
666,143,391,-1.0,-186.5
667,143,391,-1.0,-187.5
668,143,391,-1.0,-188.5
669,143,391,-1.0,-189.5
670,143,392,-0.5,-190.0
671,143,393,-0.5,-190.5
672,143,393,-1.0,-191.5
673,143,393,-1.0,-192.5
674,143,394,-0.5,-193.0
675,143,394,-1.0,-194.0
676,143,395,-0.5,-194.5
677,143,396,-0.5,-195.0
678,143,397,-0.5,-195.5
679,143,398,-0.5,-196.0
680,143,399,-0.5,-196.5
681,143,400,-0.5,-197.0
682,143,401,-0.5,-197.5
683,143,402,-0.5,-198.0
684,143,403,-0.5,-198.5
685,143,404,-0.5,-199.0
686,143,405,-0.5,-199.5
687,144,405,1.0,-198.5
688,144,406,-0.5,-199.0
689,144,406,-1.0,-200.0
690,144,407,-0.5,-200.5
691,144,408,-0.5,-201.0
692,144,409,-0.5,-201.5
693,144,410,-0.5,-202.0
694,144,411,-0.5,-202.5
695,144,412,-0.5,-203.0
696,144,413,-0.5,-203.5
697,144,414,-0.5,-204.0
698,144,415,-0.5,-204.5
699,144,416,-0.5,-205.0
700,144,417,-0.5,-205.5
701,144,418,-0.5,-206.0
702,144,419,-0.5,-206.5
703,144,420,-0.5,-207.0
704,144,421,-0.5,-207.5
705,144,422,-0.5,-208.0
706,144,423,-0.5,-208.5
707,144,424,-0.5,-209.0
708,144,425,-0.5,-209.5
709,144,426,-0.5,-210.0
710,144,427,-0.5,-210.5
711,144,428,-0.5,-211.0
712,144,429,-0.5,-211.5
713,145,429,1.0,-210.5
714,145,430,-0.5,-211.0
715,145,431,-0.5,-211.5
716,146,431,1.0,-210.5
717,146,432,-0.5,-211.0
718,146,433,-0.5,-211.5
719,146,434,-0.5,-212.0
720,146,435,-0.5,-212.5
721,146,436,-0.5,-213.0
722,146,436,-1.0,-214.0
723,146,437,-0.5,-214.5
724,147,437,1.0,-213.5
725,147,438,-0.5,-214.0
726,148,438,1.0,-213.0
727,149,438,1.0,-212.0
728,149,439,-0.5,-212.5
729,149,440,-0.5,-213.0
730,149,441,-0.5,-213.5
731,150,441,1.0,-212.5
732,150,442,-0.5,-213.0
733,150,443,-0.5,-213.5
734,150,444,-0.5,-214.0
735,150,445,-0.5,-214.5
736,150,446,-0.5,-215.0
737,150,447,-0.5,-215.5
738,150,448,-0.5,-216.0
739,151,448,1.0,-215.0
740,151,449,-0.5,-215.5
741,151,450,-0.5,-216.0
742,151,450,-1.0,-217.0
743,151,450,-1.0,-218.0
744,151,451,-0.5,-218.5
745,151,452,-0.5,-219.0
746,151,453,-0.5,-219.5
747,151,454,-0.5,-220.0
748,151,455,-0.5,-220.5
749,152,455,1.0,-219.5
750,153,455,1.0,-218.5
751,153,456,-0.5,-219.0
752,153,457,-0.5,-219.5
753,154,457,1.0,-218.5
754,154,458,-0.5,-219.0
755,154,459,-0.5,-219.5
756,154,460,-0.5,-220.0
757,154,461,-0.5,-220.5
758,154,462,-0.5,-221.0
759,155,462,1.0,-220.0
760,156,462,1.0,-219.0
761,157,462,1.0,-218.0
762,158,462,1.0,-217.0
763,159,462,1.0,-216.0
764,159,463,-0.5,-216.5
765,159,464,-0.5,-217.0
766,160,464,1.0,-216.0
767,161,464,1.0,-215.0
768,162,464,1.0,-214.0
769,162,464,-1.0,-215.0
770,162,465,-0.5,-215.5
771,162,466,-0.5,-216.0
772,163,466,1.0,-215.0
773,163,466,-1.0,-216.0
774,163,467,-0.5,-216.5
775,163,467,-1.0,-217.5
776,163,468,-0.5,-218.0
777,163,469,-0.5,-218.5
778,163,470,-0.5,-219.0
779,163,471,-0.5,-219.5
780,163,472,-0.5,-220.0
781,163,473,-0.5,-220.5
782,163,474,-0.5,-221.0
783,163,475,-0.5,-221.5
784,163,475,-1.0,-222.5
785,163,476,-0.5,-223.0
786,164,476,1.0,-222.0
787,164,477,-0.5,-222.5
788,164,478,-0.5,-223.0
789,164,479,-0.5,-223.5
